node,strength,betweenness
lukasmasuch,2037.0,11365.477011146746
jrieke,346.0,5042.486404823244
sfc-gh-bnisco,1319.0,4737.526443001447
sfc-gh-lwilby,1164.0,3896.8186147186125
mayagbarnes,492.0,2575.06592617908
sfc-gh-nbellante,517.0,2542.7113247863244
sfc-gh-dmatthews,135.0,2059.4202153110045
sfc-gh-jrieke,34.0,2050.8741796215486
velochy,77.0,1999.5708199695048
kmcgrady,233.0,1706.4593462093478
sfc-gh-lmasuch,150.0,909.7878066378057
