repo,top_k,core_count,bridge_count,overlap_count,overlap_share_of_core,overlap_share_of_bridge,jaccard_overlap
fastapi,55,55,54,20,0.36363636363636365,0.37037037037037035,0.2247191011235955
ruff,51,51,51,29,0.5686274509803921,0.5686274509803921,0.3972602739726027
streamlit,22,22,22,11,0.5,0.5,0.3333333333333333
vscode-pr-github,9,9,9,5,0.5555555555555556,0.5555555555555556,0.38461538461538464
