community_id,size,total_strength,share
0,52,2978.0,0.6046511627906976
1,24,1236.0,0.27906976744186046
3,2,12.0,0.023255813953488372
5,2,7.0,0.023255813953488372
6,2,5.0,0.023255813953488372
2,2,4.0,0.023255813953488372
4,2,4.0,0.023255813953488372
