community_id,size,total_strength,share
0,230,6489.0,0.4590818363273453
1,165,7826.0,0.32934131736526945
2,96,12297.0,0.19161676646706588
3,4,62.0,0.007984031936127744
6,2,11.0,0.003992015968063872
5,2,5.0,0.003992015968063872
4,2,2.0,0.003992015968063872
