community_id,size,total_strength,share
0,52,1542.0,0.6046511627906976
1,24,638.0,0.27906976744186046
3,2,10.0,0.023255813953488372
5,2,4.0,0.023255813953488372
4,2,3.0,0.023255813953488372
6,2,3.0,0.023255813953488372
2,2,2.0,0.023255813953488372
