repo,nodes,edges_undirected,num_communities,largest_community_size,largest_community_share,bridge_core_jaccard,bridge_core_overlap_share
fastapi,496,696,24,219,0.4415322580645161,0.2247191011235955,0.36363636363636365
ruff,501,1154,7,230,0.4590818363273453,0.3972602739726027,0.5686274509803921
streamlit,213,439,3,100,0.4694835680751174,0.3333333333333333,0.5
vscode-pr-github,86,174,7,52,0.6046511627906976,0.38461538461538464,0.5555555555555556
