node,strength,degree,betweenness,strength_rank,betweenness_rank,is_core_strength,is_bridge_betweenness,is_bridge_and_core
DJMcoder,4.0,2,0.0,94,133,False,False,False
DoctorJohn,4.0,1,0.0,94,133,False,False,False
Kadermiyanyedi,4.0,1,0.0,94,133,False,False,False
LucaPaterlini,4.0,2,0.0,94,133,False,False,False
Rekl0w,4.0,1,0.0,94,133,False,False,False
cardosource,4.0,2,0.0,94,133,False,False,False
cmtoro,4.0,2,0.0,94,133,False,False,False
luzzodev,4.0,2,0.0,94,133,False,False,False
mattalexanderhill,4.0,1,0.0,94,133,False,False,False
mattwang44,4.0,1,0.0,94,133,False,False,False
mrlubos,4.0,2,0.0,94,133,False,False,False
syedasamina56,4.0,1,0.0,94,133,False,False,False
tirkarthi,4.0,1,0.0,94,133,False,False,False
timonrieger,3.0,3,2421.183883329139,120,8,False,True,False
tImIhAcK,3.0,3,2058.3133686960314,120,10,False,True,False
gayuna,3.0,3,1440.7090909090905,120,16,False,True,False
gabyorel,3.0,3,1397.2805784750526,120,18,False,True,False
rmawatson,3.0,3,1127.7843211032837,120,26,False,True,False
sankarebarri,3.0,3,1127.7843211032823,120,27,False,True,False
mvanderlee,3.0,3,999.7401600046207,120,31,False,True,False
p-r-a-v-i-n,3.0,3,970.7480337696778,120,41,False,True,False
mahdighadiriii,3.0,3,967.323450992685,120,42,False,True,False
sauravvenkat,3.0,3,874.2982099921697,120,44,False,True,False
johnson-earls,3.0,3,778.5566523249513,120,46,False,True,False
AditSoni,3.0,3,610.2111888111891,120,80,False,False,False
cwandev,3.0,3,539.7138188608776,120,81,False,False,False
adityagiri3600,3.0,2,488.0000000000001,120,85,False,False,False
JustKiddingCode,3.0,2,487.99999999999994,120,93,False,False,False
archfz,3.0,2,487.99999999999994,120,93,False,False,False
devil-works,3.0,2,228.70952380952374,120,111,False,False,False
gudwls215,3.0,2,227.60000000000005,120,112,False,False,False
HUDA-GIF,3.0,2,49.66666666666667,120,121,False,False,False
yujiteshima,3.0,2,10.399999999999999,120,125,False,False,False
AnshMNSoni,3.0,2,0.0,120,133,False,False,False
BastienGimbert,3.0,2,0.0,120,133,False,False,False
JefferyHus,3.0,1,0.0,120,133,False,False,False
NA-V10,3.0,1,0.0,120,133,False,False,False
Raghu0703,3.0,1,0.0,120,133,False,False,False
SanjanaS10,3.0,2,0.0,120,133,False,False,False
Tonkonozhenko,3.0,1,0.0,120,133,False,False,False
abishekgiri,3.0,1,0.0,120,133,False,False,False
artKucher,3.0,1,0.0,120,133,False,False,False
bertomaniac,3.0,1,0.0,120,133,False,False,False
bilgeyucel,3.0,2,0.0,120,133,False,False,False
clement-zentz,3.0,2,0.0,120,133,False,False,False
g7AzaZLO,3.0,1,0.0,120,133,False,False,False
galah92,3.0,1,0.0,120,133,False,False,False
ishansurdi,3.0,2,0.0,120,133,False,False,False
itsmohit-raj,3.0,1,0.0,120,133,False,False,False
ivikasavnish,3.0,2,0.0,120,133,False,False,False
jgengo,3.0,1,0.0,120,133,False,False,False
kimchikingdom,3.0,1,0.0,120,133,False,False,False
kumarvishwajeettrivedi,3.0,2,0.0,120,133,False,False,False
mgu,3.0,2,0.0,120,133,False,False,False
r266-tech,3.0,1,0.0,120,133,False,False,False
remimd,3.0,1,0.0,120,133,False,False,False
savannahostrowski,3.0,2,0.0,120,133,False,False,False
shriyashaThakur,3.0,1,0.0,120,133,False,False,False
sohil-hub,3.0,2,0.0,120,133,False,False,False
swastikpradhan1999,3.0,2,0.0,120,133,False,False,False
timakaa,3.0,2,0.0,120,133,False,False,False
tonnico,3.0,1,0.0,120,133,False,False,False
ulgens,3.0,2,0.0,120,133,False,False,False
vldmrdev,3.0,2,0.0,120,133,False,False,False
waketzheng,3.0,2,0.0,120,133,False,False,False
ycd,3.0,1,0.0,120,133,False,False,False
yinziyan1206,3.0,2,0.0,120,133,False,False,False
ykertytsky,3.0,1,0.0,120,133,False,False,False
zadevhub,3.0,2,0.0,120,133,False,False,False
killerdevildog,2.0,2,1435.416330690281,176,17,False,True,False
dhruvgoyal-ai,2.0,2,1380.4755096419497,176,20,False,True,False
ndimares,2.0,2,1009.292370488366,176,30,False,True,False
GeroZayas,2.0,2,724.5850950533943,176,48,False,True,False
Shaptain,2.0,2,724.5850950533943,176,48,False,True,False
Anya299,2.0,2,693.9439525393608,176,50,False,True,False
airchitect-ai,2.0,2,693.9439525393608,176,50,False,True,False
bysiber,2.0,2,693.9439525393608,176,50,False,True,False
sayantanmandal1,2.0,2,693.9439525393608,176,50,False,True,False
sujin502,2.0,2,693.9439525393608,176,50,False,True,False
