source,target,weight
YuriiMotov,askdevai-bot,1
YuriiMotov,azamzar,5
YuriiMotov,bertomaniac,3
YuriiMotov,bidfox,1
YuriiMotov,bokshitsky,4
YuriiMotov,bysiber,1
YuriiMotov,cardosource,2
YuriiMotov,casperdcl,5
YuriiMotov,champ-sk,1
YuriiMotov,cjwatson,2
YuriiMotov,clement-zentz,2
YuriiMotov,cluster2600,2
YuriiMotov,clytaemnestra,1
YuriiMotov,cmtoro,3
YuriiMotov,coderliu,1
YuriiMotov,crummyh,1
YuriiMotov,cstruct,2
YuriiMotov,cwandev,1
YuriiMotov,dagecko,1
YuriiMotov,david-fong,1
YuriiMotov,deadlovelll,1
YuriiMotov,dependabot,4
YuriiMotov,developreiloyo,1
YuriiMotov,devil-works,1
YuriiMotov,dezh1110,1
YuriiMotov,dheekshae,1
YuriiMotov,dhruvgoyal-ai,1
YuriiMotov,diegoromerodev,4
YuriiMotov,dipenpadhiyar,1
YuriiMotov,doganarif,7
YuriiMotov,dolfinus,4
YuriiMotov,dynamicy,2
YuriiMotov,edgarrmondragon,3
YuriiMotov,eltoder,8
YuriiMotov,emmanuel-ferdman,1
YuriiMotov,essentiaMarco,5
YuriiMotov,ethicalzeus07,1
YuriiMotov,even-even,3
YuriiMotov,ewen-lorimer,1
YuriiMotov,eyetheekh,2
YuriiMotov,fcarvajalbrown,1
YuriiMotov,fitratgulmamadov,1
YuriiMotov,florentdrousset,1
YuriiMotov,gabyorel,1
YuriiMotov,garagon,1
YuriiMotov,gaurav101203,1
YuriiMotov,gayuna,1
YuriiMotov,gengbo123456,1
YuriiMotov,grantjenks,1
YuriiMotov,gudwls215,2
YuriiMotov,hemanth-thirthahalli,3
YuriiMotov,hnshah,1
YuriiMotov,ibrahimpelumi6142,3
YuriiMotov,igoyak,2
YuriiMotov,ilovemesomeramen,4
YuriiMotov,ishansurdi,2
YuriiMotov,istrebitel-1,1
YuriiMotov,itsmohit-raj,3
YuriiMotov,itssimon,1
YuriiMotov,ivikasavnish,1
YuriiMotov,jamisiveshkumar,1
YuriiMotov,jeannin,1
YuriiMotov,jgengo,3
YuriiMotov,johnslavik,1
YuriiMotov,jomkv,3
YuriiMotov,jonathan-fulton,8
YuriiMotov,jsibitoye,2
YuriiMotov,kchang50204,1
YuriiMotov,killerdevildog,1
YuriiMotov,kimchikingdom,3
YuriiMotov,kinuax,4
YuriiMotov,koladebashir,2
YuriiMotov,kumarvishwajeettrivedi,2
YuriiMotov,letmetry-oss,2
YuriiMotov,liby,2
YuriiMotov,lkkmpn,2
YuriiMotov,lonelyH3b,1
YuriiMotov,luzzodev,3
YuriiMotov,mahdighadiriii,1
YuriiMotov,majiayu000,1
YuriiMotov,mattalexanderhill,4
YuriiMotov,maxachis,1
YuriiMotov,mazulo,1
YuriiMotov,mgu,2
YuriiMotov,milan-jethva,1
YuriiMotov,mkanetsuna,7
YuriiMotov,mlb-,5
YuriiMotov,mohiuddin-khan-shiam,2
YuriiMotov,mortezave,1
YuriiMotov,musicinmybrain,1
YuriiMotov,mvanderlee,1
YuriiMotov,nancywang-cwru,1
YuriiMotov,naveencreation,1
YuriiMotov,nicolasdespres,2
YuriiMotov,nilerbarcelos,1
YuriiMotov,nilslindemann,17
YuriiMotov,niral04,1
YuriiMotov,niveshpadamata1218,2
YuriiMotov,ollie-bell,3
YuriiMotov,omnislash157,2
YuriiMotov,oxqnd,5
YuriiMotov,p-r-a-v-i-n,1
YuriiMotov,pallaprolus,1
YuriiMotov,paras-verma7454,1
YuriiMotov,peteroyce,1
YuriiMotov,prasanthkumarch26,1
YuriiMotov,prerna-pramod-gh,1
YuriiMotov,pressogh,1
YuriiMotov,ptt3199,5
YuriiMotov,r266-tech,3
YuriiMotov,retwish,1
YuriiMotov,rmawatson,1
YuriiMotov,rockokw,1
YuriiMotov,roozbehR,1
YuriiMotov,rshan1515,1
YuriiMotov,ruzia,2
YuriiMotov,rxxbyy,9
YuriiMotov,s21v1d9p,1
YuriiMotov,saimahesh8752,1
YuriiMotov,sajjadrahman56,1
YuriiMotov,sammasak,4
YuriiMotov,sandesh-bhandari-dev,1
YuriiMotov,sandeshkumatgi,1
YuriiMotov,sankarebarri,1
YuriiMotov,santoshvandari,1
YuriiMotov,sauravvenkat,1
YuriiMotov,savannahostrowski,1
YuriiMotov,sayantanmandal1,1
YuriiMotov,secrett2633,1
YuriiMotov,serge-eric-kalaga,1
YuriiMotov,seuthootDev,2
YuriiMotov,shriyashaThakur,3
YuriiMotov,simon-huang-t,1
YuriiMotov,skjeetmal12-dev,1
YuriiMotov,sohil-hub,2
YuriiMotov,sriharshamittapalli,1
YuriiMotov,stickm4n,4
YuriiMotov,subhashdasyam,4
YuriiMotov,sujin502,1
YuriiMotov,sushilk123,2
YuriiMotov,svlandeg,9
YuriiMotov,t4f1d,3
YuriiMotov,tImIhAcK,1
YuriiMotov,thakoreh,1
YuriiMotov,tiangolo,45
YuriiMotov,timakaa,2
YuriiMotov,timonrieger,1
YuriiMotov,tonnico,3
YuriiMotov,travellingsoldier85,2
YuriiMotov,tsayin4,1
YuriiMotov,uvansh,1
YuriiMotov,uydev,2
YuriiMotov,valentinDruzhinin,7
YuriiMotov,varenoma,2
YuriiMotov,varma887,1
YuriiMotov,venkatasaikumarguntupalli,1
YuriiMotov,vish86,1
YuriiMotov,vishds,1
YuriiMotov,vitali87,1
YuriiMotov,vitalvalid,1
YuriiMotov,vk496,2
YuriiMotov,vldmrdev,2
YuriiMotov,whoisalyan,2
YuriiMotov,wu-clan,1
YuriiMotov,y3l1n4ung,1
YuriiMotov,yinziyan1206,2
YuriiMotov,ynehra0777,1
YuriiMotov,yoavstr,1
YuriiMotov,yogishhg9964,1
YuriiMotov,zadevhub,2
YuriiMotov,zmievsa,1
Yurzs,tiangolo,1
Zerohertz,sungchan1,2
Zhongheng-Cheng,cwandev,1
Zhongheng-Cheng,tiangolo,1
a-babarytskyi,tiangolo,1
alaminopu,dynamicy,1
albakore,ErickMoraL,1
alejsdev,0xFazal,1
alejsdev,Adamowoc,1
alejsdev,Ali-Parandeh,1
alejsdev,BLESSEDEFEM,2
alejsdev,EdmilsonRodrigues,1
alejsdev,EgorOnishchuk,1
alejsdev,GeoSegun,1
alejsdev,KoyoMiyazaki,2
alejsdev,Lali182k5,1
alejsdev,Malak993-lho,3
alejsdev,Rayyan-Oumlil,1
alejsdev,SanjanaS10,2
alejsdev,Sufyan-Ali,1
alejsdev,Taoup,1
alejsdev,YuriiMotov,4
alejsdev,adityagiri3600,2
alejsdev,bilgeyucel,1
alejsdev,chailandau,1
alejsdev,cureprotocols,1
alejsdev,dhruvgoyal-ai,1
alejsdev,edwdev-oficial,1
alejsdev,fcharrier,2
alejsdev,gsheni,1
alejsdev,mrlubos,2
alejsdev,ndimares,1
alejsdev,praffq,1
alejsdev,ruzia,3
alejsdev,sungchan1,1
alejsdev,tiangolo,1
alejsdev,timonrieger,1
alejsdev,yujiteshima,2
alv2017,EgorOnishchuk,3
alv2017,dikos1337,2
alv2017,saltnepperson,1
alv2017,uriyyo,1
andersonrocha0,ceb10n,1
angryfoxx,tiangolo,1
antbz,musicinmybrain,1
anton-ryzhov,tiangolo,2
ashb,tiangolo,1
ashyls,Mohammad222PR,1
bforma,musicinmybrain,1
bjmc,YuriiMotov,1
bonastreyair,kinuax,2
cassiobotaro,ceb10n,1
cassiobotaro,tiangolo,1
ceb10n,EdmilsonRodrigues,4
ceb10n,YuriiMotov,1
ceb10n,saimahesh8752,1
ceb10n,tiangolo,3
cgilviadee,musicinmybrain,1
chatgpt-codex-connector,ChunkyTortoise,1
choi-haram,tiangolo,1
cleder,YuriiMotov,2
clefeu,YuriiMotov,1
coltonevansid,YuriiMotov,1
davidarmandosanchezcruz54-source,tiangolo,2
dev4all,Charisn,1
dolfinus,Ben-Brady,6
dolfinus,Lob26,2
dolfinus,WrldEngine,3
dolfinus,YuriiMotov,1
dolfinus,berkkaradalan,1
dolfinus,cardosource,2
dolfinus,gudwls215,1
dolfinus,tiangolo,5
edgarrmondragon,musicinmybrain,2
eltoder,sauravvenkat,1
eltoder,tiangolo,1
epaes90,tiangolo,1
ezeparziale,JP-Ellis,1
falkoschindler,tiangolo,1
farzbood,tiangolo,1
fatemajannat9,sajjadrahman56,2
fermanza,tiangolo,2
frafra,Areeb455,1
galah92,musicinmybrain,3
gilesperiencia-del,svlandeg,1
gitgernit,EgorOnishchuk,1
github-actions,003shrey,1
github-actions,0xFazal,1
github-actions,1cbyc,1
github-actions,24ds1000054-code,1
github-actions,24f2001045-DS,1
github-actions,Adamowoc,1
github-actions,AdarshBennur,1
github-actions,Ads2024,1
github-actions,Agbasimere,2
github-actions,AhsanSheraz,2
github-actions,AlberLC,1
github-actions,Ali-Parandeh,1
github-actions,Amrito20,1
github-actions,Anandesh-Sharma,10
github-actions,AnirudhArrepu,1
github-actions,AnshMNSoni,1
github-actions,Anya299,3
github-actions,Areeb455,2
github-actions,Ashish-Pandey62,3
github-actions,BLESSEDEFEM,1
github-actions,Ben-Brady,2
github-actions,BharathiSen,3
github-actions,BillionClaw,1
github-actions,BrunoTanabe,1
github-actions,ChaitanyaSai-Meka,3
github-actions,Charisn,2
github-actions,ChunkyTortoise,1
github-actions,CrazyAnry,1
github-actions,DEENUU1,1
github-actions,DHANUSHRAJA22,1
github-actions,DanielYang59,1
github-actions,Dawaman43,1
github-actions,DilkhushYash,1
github-actions,DivInstance,1
github-actions,DoctorJohn,2
github-actions,EFord36,1
github-actions,EdmilsonRodrigues,4
github-actions,EgorOnishchuk,8
github-actions,EnamSingh,3
github-actions,Esteban3010,1
github-actions,EstebanDalelR,1
github-actions,FatimahAlhumaidhi,9
github-actions,FlaviusRaducu,9
github-actions,Flosckow,2
github-actions,Gaurapatil1,1
github-actions,GeoSegun,1
github-actions,GeroZayas,2
github-actions,Gopesh111,1
github-actions,HUDA-GIF,1
github-actions,Harry-Lees,1
github-actions,HarshaG2005,1
github-actions,Holek,1
github-actions,HoverHell,1
github-actions,JP-Ellis,1
github-actions,JavierSanchezCastro,3
github-actions,Juangpt-coder,1
github-actions,JustKiddingCode,5
github-actions,Kadermiyanyedi,1
github-actions,KevynValladares21,1
github-actions,Kimdowne,1
github-actions,Kludex,1
github-actions,KoyoMiyazaki,1
github-actions,Krishneth,1
github-actions,KrzysztofCzapla,2
github-actions,Lali182k5,1
github-actions,Lob26,3
github-actions,LucaPaterlini,1
github-actions,MahdeeMushfiqueKamal,1
github-actions,Malak993-lho,1
github-actions,MikeiLL,1
github-actions,Mohammad222PR,1
github-actions,NA-V10,8
github-actions,NAM-MAN,1
github-actions,NavesSapnis,9
github-actions,Neizvestnyj,6
github-actions,Nicered,1
github-actions,P-Muench,1
github-actions,PRAJUN-V-ZILMONEY,1
github-actions,Peopl3s,2
github-actions,PeytonNowlin,1
github-actions,Profianton,1
github-actions,Raghu0703,1
github-actions,Rayyan-Oumlil,1
github-actions,Rekl0w,1
github-actions,Ricky512227,2
github-actions,Rodooodles,1
github-actions,Rohan5commit,7
github-actions,Rohit27305,3
github-actions,SMdipu10,1
github-actions,SadManFahIm,1
github-actions,SaisakthiM,5
github-actions,SakibSibly,4
github-actions,SanjanaS10,1
github-actions,Shaptain,4
github-actions,Srikari12,2
github-actions,Sufyan-Ali,1
github-actions,Tanmaykaturi,4
github-actions,Taoup,4
github-actions,VashuTheGreat,1
github-actions,VectorSophie,1
